Mês/Ano,Razão Social,CNPJ,Região,Estado,Município,Capacidade Produção Biodiesel (m³/d)
08/2023,CEREAL COMERCIO EXPORTACAO E REPRESENTACAO AGROPECUARIA SA,00012377000160,CENTRO OESTE,Goiás,RIO VERDE,600
08/2023,CARAMURU ALIMENTOS  S/A,00080671000371,CENTRO OESTE,Goiás,SAO SIMAO,625
08/2023,CARAMURU ALIMENTOS  S/A,00080671002153,CENTRO OESTE,Goiás,IPAMERI,625
08/2023,CARAMURU ALIMENTOS  S/A,00080671002668,CENTRO OESTE,Mato Grosso,SORRISO,285
08/2023,ADM DO BRASIL LTDA,02003402002461,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,1352
08/2023,ADM DO BRASIL LTDA,02003402004677,SUL,Santa Catarina,JOACABA,510
08/2023,COCAMAR MAQUINAS AGRICOLAS LTDA.,02213491001156,SUL,Paraná,MARINGA,353
08/2023,FIAGRIL LTDA,02734023000821,CENTRO OESTE,Mato Grosso,LUCAS DO RIO VERDE,563
08/2023,SEARA ALIMENTOS LTDA,02914460032788,SUL,Santa Catarina,MAFRA,1025
08/2023,JBS S/A,02916265013300,SUDESTE,São Paulo,LINS,560
08/2023,JBS S/A,02916265028099,CENTRO OESTE,Mato Grosso,CAMPO VERDE,410
08/2023,BOCCHI INDUSTRIA E COMERCIO DE CEREAIS LTDA,02987873001056,SUL,Rio Grande do Sul,MUITOS CAPOES,300
08/2023,AGROPAULO AGROINDUSTRIAL S.A,05373212000995,NORDESTE,Ceará,JAGUARUANA,50
08/2023,COFCO INTERNATIONAL BRASIL S.A.,06315338022864,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,1100
08/2023,BINATURAL ENERGIAS RENOVAVEIS S.A,07113559000177,CENTRO OESTE,Goiás,FORMOSA,650
08/2023,BE8 S.A.,07322382000119,SUL,Rio Grande do Sul,PASSO FUNDO,1300
08/2023,BE8 S.A.,07322382000461,SUL,Paraná,MARIALVA,1300
08/2023,JATAI AGROINDUSTRIA DE BIO-COMBUSTIVEL LTDA - EPP,07445656000167,CENTRO OESTE,Goiás,JATAI,50
08/2023,TAUA BIODIESEL LTDA,08079290000112,CENTRO OESTE,Mato Grosso,NOVA MUTUM,100
08/2023,BIONORTE INDUSTRIA E COMERCIO DE BIODIESEL LTDA,08080422000126,CENTRO OESTE,Goiás,SAO MIGUEL DO ARAGUAIA,95
08/2023,IPÊ BIOCOMBUSTÍVEL LTDA.,08382761000167,CENTRO OESTE,Mato Grosso,FELIZ NATAL,100
08/2023,BIO OLEO INDUSTRIA E COMERCIO DE BIOCOMBUSTIVEL LTDA - EPP,08387930000151,CENTRO OESTE,Mato Grosso,CUIABA,150
08/2023,CESBRA QUIMICA LTDA,08436584000154,SUDESTE,Rio de Janeiro,VOLTA REDONDA,166
08/2023,BIOPAR PRODUCAO DE BIODIESEL PARECIS LTDA,08684263000179,CENTRO OESTE,Mato Grosso,NOVA MARILANDIA,288
08/2023,BIO VIDA PRODUCAO E COMERCIO DE BIODIESEL LTDA - ME,08772264000175,CENTRO OESTE,Mato Grosso,VARZEA GRANDE,150
08/2023,AMAZONBIO - INDUSTRIA E COMERCIO DE BIODIESEL DA AMAZONIA LTDA.,08794451000150,NORTE,Rondônia,JI-PARANA,90
08/2023,PRISMA COMERCIAL EXPORTADORA DE OLEOQUIMICOS LTDA,09267863000609,SUDESTE,São Paulo,SUMARE,200
08/2023,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000386,NORDESTE,Bahia,CANDEIAS,845
08/2023,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000467,SUDESTE,Minas Gerais,MONTES CLAROS,545
08/2023,ALIANCA BIOCOMBUSTÍVEL LTDA.,10737181000197,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,10
08/2023,DELTA BIOCOMBUSTIVEIS INDUSTRIA E COMERCIO LTDA,11513699000100,CENTRO OESTE,Mato Grosso do Sul,RIO BRILHANTE,600
08/2023,DELTA CUIABA PRODUTORA DE BIOCOMBUSTIVEIS LTDA.,11652509000135,CENTRO OESTE,Mato Grosso,CUIABA,1000
